Title,IMDb rating,Year,MPA rating,Genre,Director,Star Cast,MetaScore,Duration (minutes)
Les Misérables,7.5,1995,R,Drama,Claude Lelouch,Jean-Paul BelmondoMichel BoujenahAlessandra Martines,66.0,175.0
Christmas Oranges,6.7,2012,PG,Drama,John Lyde,Edward Herrmann,57.1,101.0
King of the Hill,7.3,1993,PG-13,Drama,Steven Soderbergh,Jesse BradfordJeroen KrabbéLisa Eichhorn,86.0,103.0
Feng kuang de tu zi,5.5,1997,R,Horror,Xiaoqin Cui,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
War for the Planet of the Apes,7.4,2017,PG-13,Action,Matt Reeves,Mark BombackMatt ReevesRick Jaffa,82.0,140.0
"Homunculus, 6. Teil - Das Ende des Homunculus",6.7,1917,R,Drama,Otto Rippert,Olaf FønssFriedrich KühneMechthildis Thein,66.0,116.3
Dune: Part Two,8.6,2024,PG-13,Action,Denis Villeneuve,Timothée ChalametZendayaRebecca Ferguson,79.0,166.0
20 Feet from Stardom,7.4,2013,PG-13,Documentary,Morgan Neville,Darlene LoveMerry ClaytonLisa Fischer,83.0,91.0
6 for 7,5.3,2011,R,Drama,Michel Massicotte,Robert AhrensSamy OsmanRobert du Broy,66.0,116.3
Concussion,7.1,2015,PG-13,Biography,Peter Landesman,Will SmithAlec BaldwinAlbert Brooks,55.0,123.0
Walkin' on Sunshine: The Movie,6.0,1997,R,Comedy,Misty Bell,Mike GreenholtAustin McKinleyAngela DiMeglio,66.0,116.3
Only the Brave,7.6,2017,PG-13,Action,Joseph Kosinski,Josh BrolinMiles TellerJeff Bridges,72.0,134.0
Goodbye Bafana,7.1,2007,R,Biography,Bille August,Bille AugustBob GrahamJames Gregory,66.0,118.0
An Addicting Picture,7.3,2017,R,Drama,Puja Pandey,Michael Alan HermanColleen MooneyTodd Netherton,66.0,116.3
The Strangers,6.1,2008,R,Horror,Bryan Bertino,Scott SpeedmanLiv TylerGemma Ward,47.0,86.0
The Lodge,6.0,2019,R,Drama,Severin Fiala,Riley KeoughJaeden MartellLia McHugh,64.0,108.0
Ulemae 8: Esperman gwa ulemae,6.9,1993,R,Action,Cheong-gi Kim,Hyung-rae ShimEun-Gyeong CheonRi-na Kang,66.0,116.3
The Huntsman: Winter's War,6.1,2016,PG-13,Action,Cedric Nicolas-Troyan,Chris HemsworthJessica ChastainCharlize Theron,35.0,114.0
Where the Crawdads Sing,7.2,2022,PG-13,Drama,Olivia Newman,Daisy Edgar-JonesTaylor John SmithHarris Dickinson,43.0,125.0
The Little Rascals,6.3,1994,PG,Comedy,Penelope Spheeris,Travis Tedford,45.0,82.0
The Croods: A New Age,6.9,2020,PG,Animation,Joel Crawford,Nicolas Cage,56.0,95.0
Mad Dog Morgan,6.1,1976,R,Action,Philippe Mora,Dennis HopperJack ThompsonDavid Gulpilil,66.0,102.0
A Thousand Voices,8.9,2014,PG,Documentary,David Aubrey,Irene BedardSharon Y. BegayChristy Bird,66.0,57.0
Ivan-Durak,5.2,2002,R,Sci-Fi,Aleksandr Dulerayn,Gleb AleynikovBoris BazhenovAleksis Brunner,66.0,116.3
Speed Racer,6.1,2008,PG,Action,Lana Wachowski,Emile Hirsch,37.0,135.0
Love and Honor,7.7,2006,PG-13,Drama,Yôji Yamada,Shûhei FujisawaYôji YamadaEmiko Hiramatsu,66.0,122.0
Quiz Show,7.5,1994,PG-13,Biography,Robert Redford,Ralph FiennesJohn TurturroRob Morrow,92.0,133.0
Trap,6.9,2024,R,Crime,M. Night Shyamalan,Josh HartnettAlison PillHayley Mills,66.0,116.3
Severance,5.1,2010,R,Drama,Dany Gehshan,Ash CatherwoodVanessa BurnsPaul Fowles,66.0,116.3
Awakenings,7.8,1990,PG-13,Biography,Penny Marshall,Robert De NiroRobin WilliamsJulie Kavner,74.0,121.0
Asterix at the Olympic Games,5.2,2008,Not Rated,Adventure,Frédéric Forestier,Gérard Depardieu,57.1,116.0
Stronger,6.9,2017,R,Biography,David Gordon Green,Jake GyllenhaalTatiana MaslanyMiranda Richardson,76.0,119.0
Disturbia,6.8,2007,PG-13,Crime,D.J. Caruso,Christopher LandonCarl Ellsworth,62.0,105.0
Infinity Pool,6.0,2023,R,Crime,Brandon Cronenberg,Alexander SkarsgårdMia GothCleopatra Coleman,72.0,117.0
Incredibles 2,7.5,2018,PG,Animation,Brad Bird,Craig T. NelsonHolly HunterSarah Vowell,80.0,118.0
Mr. Popper's Penguins,6.0,2011,PG,Comedy,Mark Waters,Jim Carrey,53.0,94.0
Sonic the Hedgehog 2,6.5,2022,PG,Action,Jeff Fowler,Pat CaseyJosh MillerJohn Whittington,47.0,122.0
Electric Nostalgia,6.5,2016,R,Drama,Jacob Leighton Burns,Lauren AnallaJosh BonzieCait Brasel,66.0,116.3
Rush,8.1,2013,R,Action,Ron Howard,Daniel BrühlChris HemsworthOlivia Wilde,74.0,123.0
The Other Side of the Lake the Purple Girl: Episode IV-the New Visitor,5.0,2015,R,Documentary,Erik De La Torre Stahl,Alejandra AguileraAstryMaricela Betancourt,66.0,116.3
17,6.1,1992,R,Sci-Fi,Enrico Caria,Giovanni MaurielloPaola IovinellaPeppe Barra,66.0,116.3
Fuga dalla Morte,9.2,2023,R,Adventure,Michael Righini,Nicola AdobatiAndrea BaglioNicol Benvenuti,66.0,116.3
A Monster Calls,7.4,2016,PG-13,Adventure,J.A. Bayona,Lewis MacDougall,76.0,108.0
Dawn of Destruction,6.4,2014,R,Sci-Fi,Neil Johnson,Brooke Lewis BellasMaria LunaTracey Birdsall,66.0,116.3
The Girl Who Leapt Through Time,7.7,2006,Other,Animation,Mamoru Hosoda,Riisa Naka,66.0,98.0
The Watcher in the Woods,6.1,1980,PG,Family,John Hough,Bette Davis,52.0,84.0
Endgame,6.2,2009,PG-13,Drama,Pete Travis,William HurtChiwetel EjioforJonny Lee Miller,55.0,109.0
W.,6.3,2008,PG-13,Biography,Oliver Stone,Josh BrolinElizabeth BanksIoan Gruffudd,56.0,129.0
Vitaminac,5.4,2012,R,Sci-Fi,Matias Musa,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Mobile Suit Gundam I,7.0,1981,Other,Animation,Ryôji Fujiwara,Ryôji FujiwaraYoshiyuki TominoEikichi Kojika,66.0,137.0
Anzio,6.0,1968,PG-13,Drama,Edward Dmytryk,H.A.L. CraigWynford Vaughan-ThomasFrank De Felitta,66.0,117.0
Aoki Hagane no Arpeggio: Ars Nova DC,6.3,2015,R,Animation,Hiroyuki Endô,Hiroyuki EndôMai FuchigamiSaki Fujita,66.0,116.3
A Man for All Seasons,7.7,1966,G,Biography,Fred Zinnemann,Robert Bolt,72.0,120.0
What Was Ours,7.7,2016,G,Documentary,Mat Hames,Daniel RadcliffeEmma WatsonRupert Grint,66.0,79.0
Death Race 2000,6.2,1975,R,Action,Paul Bartel,David CarradineSylvester StalloneSimone Griffeth,58.0,80.0
Super Troopers,7.0,2001,R,Comedy,Jay Chandrasekhar,Jay ChandrasekharKevin HeffernanSteve Lemme,48.0,100.0
Shin Godzilla,6.8,2016,Not Rated,Action,Hideaki Anno,Hideaki AnnoSean WhitleyIshirô Honda,67.0,120.0
Breach,7.0,2007,PG-13,Biography,Billy Ray,Adam MazerBill RotkoBilly Ray,74.0,110.0
Like Stars on Earth,8.3,2007,PG,Drama,Aamir Khan,Darsheel Safary,57.1,162.0
The Lord of the Rings: The Fellowship of the Ring,8.9,2001,PG-13,Action,Peter Jackson,J.R.R. TolkienFran WalshPhilippa Boyens,92.0,178.0
Funny Girl,7.4,1968,G,Biography,William Wyler,Isobel Lennart,88.0,151.0
The Killing Fields,7.8,1984,R,Biography,Roland Joffé,Sam WaterstonHaing S. NgorJohn Malkovich,76.0,141.0
Elulu,6.2,2021,R,Animation,Gabriel Alfonso Verdugo Soto,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
The Thin Red Line,7.6,1998,R,Drama,Terrence Malick,Jim CaviezelSean PennNick Nolte,78.0,170.0
Oppenheimer,8.3,2023,R,Biography,Christopher Nolan,Cillian MurphyEmily BluntMatt Damon,90.0,180.0
Blow,7.5,2001,R,Biography,Ted Demme,Johnny DeppPenélope CruzFranka Potente,52.0,124.0
Street Rats,6.3,1996,R,Sci-Fi,Terri L. Parker,Brittany BentleyBill KellyBilly Kelly,66.0,116.3
Mezcal,6.6,2006,R,Drama,Ignacio Ortiz,Ana GrahamDagoberto GamaRicardo Blume,66.0,116.3
Libertaria,6.8,2013,Not Rated,Animation,Sabrina Peña Young,Joe CameronPerry CookGracia Gillund,66.0,60.0
The Libertine,6.2,2004,R,Biography,Laurence Dunmore,Stephen Jeffreys,44.0,114.0
Ice Princess,6.0,2005,G,Comedy,Tim Fywell,Michelle Trachtenberg,55.0,98.0
Hanussen,7.2,1988,R,Drama,István Szabó,Péter DobaiErik Jan HanussenPaul Hengge,66.0,140.0
Fantastic Mr. Fox,7.9,2009,PG,Animation,Wes Anderson,George Clooney,83.0,87.0
Ip Man 2,7.5,2010,R,Action,Wilson Yip,Tai-Lee ChanHiu-Yan ChoiDavid Tadman,67.0,108.0
The Face Reader,6.8,2013,PG-13,Action,Han Jae-rim,Song Kang-hoLee Jung-jaeBaek Yun-shik,66.0,140.0
Las aventuras de Jesús María Cristóbal Pequeño,7.4,2013,R,Sci-Fi,Gilles Gambino,Ben VinnicombeAnnick WeertsMontse Olmo,66.0,116.3
Who's Changing: An Adventure in Time with Fans,8.5,2014,R,Documentary,Cameron K. McEwan,Sophie AldredJeremy BenthamCaitlin Blackwood,66.0,116.3
Kung Fu Panda 3,7.1,2016,PG,Animation,Alessandro Carloni,Jack Black,66.0,95.0
Thomas Mao,5.8,2010,R,Comedy,Kate Zhu,Ye FengThomas RohdewaldMao Yan,66.0,116.3
A Cry in the Dark,6.9,1988,PG-13,Biography,Fred Schepisi,Meryl StreepSam NeillDale Reeves,66.0,120.0
Miracle on 34th Street,7.9,1947,Other,Comedy,George Seaton,Edmund Gwenn,88.0,96.0
Vakuum,6.0,2004,R,Sci-Fi,Thomas Grampp,Thomas GramppMonika KrämerCosima Lange,66.0,116.3
A-X-L,5.3,2018,PG,Action,Oliver Daly,Alex Neustaedter,29.0,98.0
The Challenging Ghost,6.8,1959,R,Action,Shôichi Shimazu,Fumitake ÔmuraYaeko WakamizuMayumi Fujisato,66.0,116.3
The Rookie,6.9,2002,G,Drama,John Lee Hancock,Dennis Quaid,72.0,127.0
An Enraged New World,6.4,2002,R,Adventure,Michael A. Martinez,Wil H. HarrisTim JahnMichael A. Martinez,66.0,116.3
Sonic the Hedgehog 2,6.5,2022,PG,Action,Jeff Fowler,James Marsden,47.0,122.0
Ernest Scared Stupid,5.8,1991,PG,Comedy,John R. Cherry III,Jim Varney,38.0,91.0
"Girl, Interrupted",7.3,1999,R,Biography,James Mangold,Susanna KaysenJames MangoldLisa Loomer,51.0,127.0
Sleepover,5.3,2004,PG,Comedy,Joe Nussbaum,Alexa PenaVega,33.0,89.0
El rayo desintegrador,6.7,1966,R,Adventure,Pascual Cervera,José E. ArangurenPascual Cervera,66.0,116.3
Ghosts Behind the Screen,7.3,2020,PG-13,Documentary,Brett Gerking,Jill WiteckiJohn BohannonJeremy Rettig,66.0,72.0
Kung Fu Panda,7.6,2008,PG,Animation,Mark Osborne,Jonathan AibelGlenn BergerEthan Reiff,74.0,92.0
Why We Fight,8.0,2005,PG-13,Documentary,Eugene Jarecki,Gore VidalJohn McCainKen Adelman,68.0,98.0
Power,5.3,2009,R,Horror,Bryan Belser,Bryan BelserJames ClintonKenneth Janosko,66.0,116.3
"Santiago, Italia",7.2,2018,PG,Documentary,Nanni Moretti,Salvador AllendeCarmen CastilloPatricio Guzmán,66.0,80.0
Where Is the Friend's House?,8.1,1987,Not Rated,Drama,Abbas Kiarostami,Babek Ahmed Poor,57.1,83.0
Mun ma gub kwam mud,6.0,1971,R,Sci-Fi,Chatrichalerm Yukol,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Back to the Future Part II,7.8,1989,PG,Adventure,Robert Zemeckis,Robert ZemeckisBob Gale,57.0,108.0
Miss Potter,7.0,2006,PG,Biography,Chris Noonan,Renée ZellwegerEwan McGregorEmily Watson,57.0,88.0
Once Upon a Time... in Hollywood,7.6,2019,R,Comedy,Quentin Tarantino,Leonardo DiCaprioBrad PittMargot Robbie,84.0,161.0
The Old Man & the Gun,6.7,2018,PG-13,Biography,David Lowery,Robert RedfordCasey AffleckSissy Spacek,80.0,93.0
Tone Death,5.0,2017,R,Comedy,Roger Armstrong,John HickmanRoger ArmstrongAlastair Cummings,66.0,116.3
Dual: Herederos del pasado,6.5,2008,R,Action,Bertolt Salvago,Pau CodinaAndrés FloresVictoria Freire,66.0,116.3
The Wrecking Crew!,7.7,2008,PG,Documentary,Denny Tedesco,Brian WilsonDick ClarkCher,67.0,101.0
The Young Victoria,7.2,2009,PG,Biography,Jean-Marc Vallée,Emily BluntRupert FriendPaul Bettany,64.0,105.0
The Boys in the Boat,6.9,2023,PG-13,Biography,George Clooney,Joel EdgertonCallum TurnerPeter Guinness,54.0,123.0
The Longest Day,7.7,1962,G,Action,Ken Annakin,Ken AnnakinAndrew MartonGerd Oswald,75.0,178.0
The Batman,7.8,2022,PG-13,Action,Matt Reeves,Matt ReevesPeter CraigBob Kane,72.0,176.0
Elemental,7.0,2023,PG,Animation,Peter Sohn,John HobergKat LikkelBrenda Hsueh,58.0,101.0
Butch Cassidy and the Sundance Kid,8.0,1969,PG,Biography,George Roy Hill,Paul NewmanRobert RedfordKatharine Ross,66.0,110.0
Patriots Day,7.3,2016,R,Action,Peter Berg,Peter BergMatt CookJoshua Zetumer,69.0,133.0
Joker,8.4,2019,R,Crime,Todd Phillips,Todd PhillipsScott SilverBob Kane,59.0,122.0
The Problem with Honor,8.5,2013,Not Rated,Drama,William Craft,Greg SuttonRick FordLenore Sagaskie,66.0,157.0
The Zombie Hero,6.0,2010,R,Action,Nicholas Jackson,Nicholas Jackson,66.0,116.3
Flow,7.6,2024,PG,Animation,Gints Zilbalodis,Daniel Radcliffe,57.1,100.0
Mobile Suit Gundam Thunderbolt: December Sky,7.2,2016,R,Animation,Kô Matsuo,Kô MatsuoYoshiyuki Tomino,66.0,116.3
Heidi,7.4,2015,PG,Drama,Alain Gsponer,Anuk Steffen,57.1,100.0
The Magician's Elephant,6.6,2023,PG,Animation,Wendy Rogers,Noah Jupe,53.0,99.0
An Unfinished Life,7.0,2005,PG-13,Drama,Lasse Hallström,Jennifer Lopez,49.0,108.0
Mufasa: The Lion King,7.1,2024,R,Animation,Barry Jenkins,Linda WoolvertonIrene MecchiJonathan Roberts,66.9,116.3
Ride Like a Girl,7.0,2019,PG,Biography,Rachel Griffiths,Teresa PalmerSam NeillBrooke Satchwell,47.0,98.0
Single Minded,6.8,2010,R,Action,Luke Tedder,Luke TedderJames DearingOliver Gills,66.0,116.3
Colonia,7.0,2015,R,Biography,Florian Gallenberger,Emma WatsonDaniel BrühlMichael Nyqvist,33.0,110.0
Rio,6.9,2011,G,Animation,Carlos Saldanha,Jesse Eisenberg,63.0,96.0
The New World,6.7,2005,PG-13,Biography,Terrence Malick,Colin FarrellQ'orianka KilcherChristopher Plummer,73.0,135.0
Frost/Nixon,7.7,2008,R,Biography,Ron Howard,Peter Morgan,80.0,122.0
Taking Woodstock,6.7,2009,R,Biography,Ang Lee,Demetri MartinHenry GoodmanEdward Hibbert,55.0,120.0
Mulan,7.7,1998,G,Animation,Tony Bancroft,Ming-Na Wen,72.0,87.0
IF,6.5,2024,PG,Animation,John Krasinski,Cailey Fleming,46.0,104.0
City Lights,8.5,1931,G,Comedy,Charles Chaplin,Charles ChaplinVirginia CherrillFlorence Lee,99.0,87.0
Cybornetics: Urban Cyborg,6.4,2013,R,Sci-Fi,Dwayne Buckle,Raw LeibaJames David RichAlan Bendich,66.0,116.3
The Substance,8.0,2024,R,Drama,Coralie Fargeat,Margaret QualleyDemi MooreDennis Quaid,83.0,116.3
F.L.S.,7.5,2011,R,Action,Thanos Tsavlis,Thanos TsavlisKarytsas GiannisTzortzopoulou Lussy,66.0,116.3
Anastasia,7.1,1997,G,Animation,Don Bluth,Susan GauthierBruce GrahamBob Tzudiker,61.0,94.0
Metamorfosia,7.6,2014,R,Horror,Cosmotropia de Xam,Carmen IncarnadineJanet LittwinLarissa Littwin,66.0,116.3
Red Dog,7.3,2011,PG,Biography,Kriv Stenders,Josh LucasRachael TaylorRohan Nichol,66.0,92.0
Foxcatcher,7.0,2014,R,Biography,Bennett Miller,Steve CarellChanning TatumMark Ruffalo,81.0,134.0
Black Hawk Down,7.7,2001,R,Action,Ridley Scott,Josh HartnettEwan McGregorTom Sizemore,74.0,144.0
Annie,6.6,1982,PG,Comedy,John Huston,Carol SobieskiThomas MeehanMartin Charnin,39.0,127.0
Quezon's Game,6.8,2018,PG-13,Drama,Matthew E. Rosen,Raymond BagatsingRachel AlejandroKate Alejandrino,36.0,127.0
Out of Africa,7.1,1985,PG,Biography,Sydney Pollack,Karen BlixenJudith ThurmanErrol Trzebinski,69.0,161.0
Wormtooth Nation,5.8,2008,Not Rated,Sci-Fi,Geoff Boothby,Benjamin EsteyElizabeth HughesDavid J. Murphy,66.0,84.0
Buzz,6.9,2005,PG-13,Documentary,Spiro Taraviras,A.I. BezzeridesJules DassinGregory Patrick Karr,66.0,118.0
Super/Man: The Christopher Reeve Story,8.2,2024,PG-13,Documentary,Ian Bonhôte,Daniel RadcliffeEmma WatsonRupert Grint,86.0,106.0
The Wizard of Oz,8.1,1939,G,Adventure,Victor Fleming,Judy Garland,92.0,102.0
Ai-un: Hugo Makibi Enomiya-Lassalle. Bridge Builder between Zen and Christianity,6.7,2016,PG,Documentary,Christof Wolf,Maximilian KnauerMargret MellertChristof Wolf,66.0,110.0
Taken in the Night,7.9,2018,R,Drama,Larry Rosen,Brett EidmanBonnie C. HarperAndrew Ayala,66.0,116.3
Finding Nemo,8.2,2003,G,Animation,Andrew Stanton,Andrew StantonBob PetersonDavid Reynolds,90.0,100.0
Karminsky-Grad,5.0,2011,R,Horror,Jean-Jacques Rousseau,Noël GodinVladimir KamenovOlga S.,66.0,116.3
Big Fat Liar,5.5,2002,PG,Adventure,Shawn Levy,Frankie Muniz,36.0,88.0
The Emigrants,8.0,1971,PG,Drama,Jan Troell,Max von SydowLiv UllmannEddie Axberg,66.0,151.0
The Assisi Underground,6.0,1985,PG,Drama,Alexander Ramati,Alexander Ramati,66.0,115.0
Zara Hatke Zara Bachke,6.2,2023,Not Rated,Comedy,Laxman Utekar,Maitrey BajpaiRamiz Ilham Khan,66.0,132.0
JFK,8.0,1991,R,Drama,Oliver Stone,Jim GarrisonJim MarrsOliver Stone,72.0,189.0
A Walk in the Woods,6.4,2015,R,Adventure,Ken Kwapis,Robert RedfordNick NolteEmma Thompson,51.0,104.0
Hotel Transylvania 2,6.6,2015,PG,Animation,Genndy Tartakovsky,Adam Sandler,44.0,89.0
Mayerling,6.1,1968,PG-13,Drama,Terence Young,Claude AnetMichel ArnoldDenis Cannan,66.0,140.0
Oigye uloiyong,8.0,1987,R,Action,Sun-deok Bang,Hyeon-gon KimWon-seob SeoChang-seon Park,66.0,116.3
Royal Flash,6.3,1975,PG,Adventure,Richard Lester,George MacDonald FraserThomas Hughes,66.0,102.0
The Paragon Gate,6.8,2015,R,Sci-Fi,James Buck,Richard BuckLee StarkeyElana Di Troya,66.0,116.3
Natalie_Net,5.6,2014,R,Sci-Fi,Chico Morera,Víctor BenjumeaDani CodinaJulius Cotter,66.0,116.3
Minecraft,7.1,2025,R,Action,Jared Hess,Chris BowmanHubbel PalmerAllison Schroeder,66.9,116.3
The One and Only Ivan,6.6,2020,PG,Adventure,Thea Sharrock,Sam Rockwell,58.0,95.0
Interview with the Vampire: The Vampire Chronicles,7.5,1994,R,Drama,Neil Jordan,Anne Rice,62.0,123.0
The Final Equation,7.9,2009,R,Sci-Fi,Daniel Ulysses Abella,Robert HarriellCassandra CookePaul Weissman,66.0,116.3
Capote,7.3,2005,R,Biography,Bennett Miller,Philip Seymour HoffmanClifton Collins Jr.Catherine Keener,88.0,114.0
The Good Lie,7.4,2014,PG-13,Biography,Philippe Falardeau,Reese WitherspoonArnold OcengGer Duany,65.0,110.0
Wolfwalkers,8.0,2020,PG,Animation,Tomm Moore,Honor Kneafsey,87.0,103.0
FANomenon,7.6,2013,R,Documentary,Lynne Carter,John BarrowmanSusan BecknerDan Carroll,66.0,116.3
The Road to Freedom,6.2,2010,R,Adventure,Brendan Moriarty,Joshua Fredric SmithScott MaguireNhem Sokun,66.0,93.0
Castle in the Sky,8.0,1986,PG,Animation,Hayao Miyazaki,Hayao MiyazakiJonathan Swift,78.0,125.0
Race to Witch Mountain,5.7,2009,PG,Action,Andy Fickman,Dwayne Johnson,52.0,98.0
The Extraordinary Adventures of Adèle Blanc-Sec,6.3,2010,PG,Action,Luc Besson,Louise BourgoinMathieu AmalricGilles Lellouche,66.0,107.0
The Green Conspiracy,6.1,2013,Not Rated,Action,Brett William Mauser,Brett William Mauser,66.0,96.0
The Losers,6.2,2010,PG-13,Action,Sylvain White,Peter BergJames VanderbiltAndy Diggle,44.0,97.0
Suparna,5.2,2020,R,Action,Sujeewa Priyalal,Duleeka MarapanaDinakshie PriyasadAshan Dias,66.0,116.3
Rabbids Escape,8.0,2021,R,Action,Elijah Adkins,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Seasons,7.2,2015,PG,Documentary,Jacques Perrin,Daniel RadcliffeEmma WatsonRupert Grint,67.0,96.0
The Bushbaby,6.3,1969,G,Adventure,John Trent,Robert MaxwellWilliam Stevenson,66.0,100.0
Homeward Bound: The Incredible Journey,6.9,1993,G,Adventure,Duwayne Dunham,Michael J. Fox,57.1,84.0
Pól serio,6.2,2000,R,Comedy,Tomasz Konecki,Rafal KrólikowskiEdyta OlszówkaMaria Seweryn,66.0,116.3
Uranes,6.2,2013,R,Sci-Fi,Chema García Ibarra,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Why Do Fools Fall in Love,6.4,1998,R,Biography,Gregory Nava,Halle BerryVivica A. FoxLela Rochon,66.0,116.0
Can You Ever Forgive Me?,7.1,2018,R,Biography,Marielle Heller,Melissa McCarthyRichard E. GrantDolly Wells,87.0,106.0
Stealing Heaven,6.4,1988,R,Drama,Clive Donner,Derek de LintKim ThomsonDenholm Elliott,66.0,108.0
Where the Wild Things Are,6.7,2009,PG,Adventure,Spike Jonze,Max Records,71.0,101.0
Stardust,7.6,2007,PG-13,Adventure,Matthew Vaughn,Charlie CoxClaire DanesSienna Miller,66.0,127.0
Fall of a Saga,5.5,2003,R,Comedy,Edward Earl Newton,Bruce CollierElliott StegallDavid Kramer,66.0,116.3
The SpongeBob Movie: Sponge on the Run,5.9,2020,PG,Animation,Tim Hill,Tim Hill,65.0,91.0
Rappaccini's Daughter,7.0,2013,R,Fantasy,Griffith Mehaffey,Nathaniel HawthorneGriffith Mehaffey,66.0,116.3
Sturmaz (Acto y tempestad),7.2,2011,R,Sci-Fi,Jesús Maestro,José Luis Rodríguez AenasDaniel F. AmselemBlanca Fibla,66.0,116.3
The Outpost,6.8,2019,R,Action,Rod Lurie,Scott EastwoodCaleb Landry JonesOrlando Bloom,71.0,123.0
Freedom Summer,7.8,2014,PG,Documentary,Stanley Nelson,Karin Kunstler GoldmanJulian BondPeggy Jean Connor,66.0,113.0
Wreck-It Ralph,7.7,2012,PG,Animation,Rich Moore,John C. Reilly,72.0,101.0
Nacho Libre,5.9,2006,PG,Comedy,Jared Hess,Jack Black,52.0,92.0
Zombieland,7.5,2009,R,Action,Ruben Fleischer,Jesse EisenbergEmma StoneWoody Harrelson,73.0,88.0
Harry Potter and the Order of the Phoenix,7.5,2007,PG-13,Action,David Yates,Daniel RadcliffeEmma WatsonRupert Grint,71.0,138.0
Mountains of the Moon,7.1,1990,R,Adventure,Bob Rafelson,William HarrisonBob Rafelson,66.0,136.0
The War with Grandpa,5.7,2020,PG,Comedy,Tim Hill,Robert De Niro,34.0,94.0
Chariots of Fire,7.1,1981,PG,Biography,Hugh Hudson,Ben CrossIan CharlesonNicholas Farrell,78.0,125.0
Harriet the Spy,6.0,1996,PG,Comedy,Bronwen Hughes,Michelle Trachtenberg,57.1,100.0
Gosford Park,7.2,2001,R,Comedy,Robert Altman,Maggie SmithRyan PhillippeMichael Gambon,90.0,137.0
End of the Spear,6.8,2005,PG-13,Adventure,Jim Hanon,Louie LeonardoChad AllenJack Guzman,45.0,108.0
When Hitler Stole Pink Rabbit,7.0,2019,PG,Biography,Caroline Link,Riva Krymalowski,54.0,100.0
American Made Movie,6.1,2013,G,Documentary,Nathaniel Thomas McGill,Mark AndolMerrie BuchsbaumRobert DeMartini,54.0,82.0
Snow White and the Huntsman,6.1,2012,PG-13,Action,Rupert Sanders,Evan DaughertyJohn Lee HancockHossein Amini,57.0,127.0
Robots,6.4,2005,PG,Animation,Chris Wedge,Ewan McGregor,64.0,91.0
Gekijouban Sengoku Basara: The Last Party,6.5,2011,PG-13,Animation,Kazuya Nomura,Liam O'BrienTroy BakerLaura Bailey,66.0,94.0
The Lion in Winter,7.9,1968,PG,Biography,Anthony Harvey,James Goldman,66.0,134.0
Zahublene misto,6.6,2015,R,Drama,Vitaliy Potrukh,Amiran DmukhaladzeMark DrobotAndriy Dzhedzhula,66.0,116.3
Harry Potter and the Half-Blood Prince,7.6,2009,PG,Action,David Yates,Daniel RadcliffeEmma WatsonRupert Grint,78.0,153.0
Unsung Hero,7.8,2024,PG,Drama,Richard L. Ramsey,Richard L. RamseyRichard RamseyJoel Smallbone,46.0,113.0
Toy Story 3,8.3,2010,G,Animation,Lee Unkrich,Tom Hanks,92.0,103.0
Lint the Movie,6.8,2011,R,Biography,Steve Aylett,Alan MooreStewart LeeJosie Long,66.0,116.3
Stratagem,6.6,2008,R,Action,Jeremy Dean,Rian BishopAmber Marie BollingerEvan Elliot,66.0,116.3
Shrek the Musical,6.9,2013,Other,Comedy,Michael John Warren,Brian d'Arcy James,57.1,130.0
Girl with a Pearl Earring,6.9,2003,PG-13,Biography,Peter Webber,Scarlett JohanssonColin FirthTom Wilkinson,72.0,100.0
My Bodyguard,7.1,1980,PG,Comedy,Tony Bill,Chris Makepeace,67.0,102.0
Zeria,6.0,2021,R,Animation,Harry Cleven,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Glorious 39,6.4,2009,R,Drama,Stephen Poliakoff,Romola GaraiEddie RedmayneJuno Temple,66.0,129.0
Inglourious Basterds,8.4,2009,R,Adventure,Quentin Tarantino,Brad PittDiane KrugerEli Roth,69.0,153.0
Heavenly Creatures,7.3,1994,R,Biography,Peter Jackson,Melanie LynskeyKate WinsletSarah Peirse,86.0,99.0
12 Years a Slave,8.1,2013,R,Biography,Steve McQueen,Chiwetel EjioforMichael Kenneth WilliamsMichael Fassbender,96.0,134.0
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.9,116.3
Darkling,7.0,2014,Not Rated,Horror,Michael Muncy,Jack RooneyC.A. McGregorJustin Muncy,66.0,94.0
Babylon,7.1,2022,R,Comedy,Damien Chazelle,Brad PittMargot RobbieJean Smart,61.0,189.0
Vizhi Moodi Yosithaal,8.4,2014,R,Action,K.G. Senthil Kumar,Amit BhargavMisha GhoshalK.G. Senthil Kumar,66.0,116.3
My Little Pony: A New Generation,6.8,2021,PG,Animation,Robert Cullen,Vanessa Hudgens,57.1,90.0
Povestea dragostei,6.5,1977,R,Fantasy,Ion Popescu-Gopo,Eugenia PopoviciMircea BogdanMarian Stanciu,66.0,116.3
